composition,Mean VEC,Atomic_Radius_Difference,Calculated_Youngs_Modulus,Mixing_Enthalpy,Mixing_Entropy,Work_Function,Shear_Modulus_G,MOd_Missmatch,shear_modulus_difference,melting_Temp,cohesive_enrg,Ionization_enrg,Pauling_electronegativity
Al1 Cr1 Cu1 Fe1 Mo1 Ni1 Ti1 Zr1,6.5,26.25,178.625,-17.562,17.288,1.631,68.075,-0.117,0.245,1871.905,4.734,7.073,0.118
Al0.33 Ti1.94 Y0.19,3.789,32.496,105.813,-10.615,5.442,2.938,41.394,-0.012,0.021,1794.876,4.62,6.668,0.017
Co1 Cr1 Fe1 Pd1 V1 Zr1,7,24.667,173.667,-28.556,14.897,1.058,67.667,-0.074,0.159,1983.008,4.75,7.378,0.142
Al1.34 Cr0.58 Fe1.96,5.974,5.536,172.469,-10.043,8.283,1.707,67.696,-0.097,0.225,1563.095,3.935,7.071,0.022
Al1 Cu1 Fe1 Nb1 Ni1 Zr1,6.833,26.333,135,-24.111,14.897,1.505,50.6,-0.081,0.175,1784.707,4.945,7.108,0.085
Al0.86 Co1.24 Cr0.35 Fe0.29 Ti1.81 V1.44,5.442,15.03,145.656,-22.861,13.481,1.882,56.99,-0.064,0.148,1826.381,4.58,6.954,0.033
Cu0.52 Mg1.21 Mn0.8 Ni0.59 Re1.65 Zr1.24,7.113,20.03,212.805,-7.322,14.227,1.437,75.399,-0.304,0.744,2063.837,4.947,7.48,0.148
Al0.78 B0.2 Co1.67 Hf1.18 Mn0.61 Nb1.2,6.681,49.411,161.406,-32.324,13.714,1.59,50.02,-0.126,0.365,2009.599,5.154,7.126,0.096
Mn1 Ti1 V1 Zr1,5,18,134,-7.5,11.526,1.618,42.25,-0.024,0.05,1942.75,4.902,6.911,0.025
Co1 Fe1 Re1 Ta1 V1,8.4,12.4,239.4,-15.52,13.381,1.19,92.2,-0.09,0.224,2502.2,5.996,7.66,0.049
Ni1.45 Sc1.41,6.549,19.266,137.881,-38.992,5.762,2.309,52.829,-0.084,0.198,1770.399,3.863,7.109,0.151
B1 Cu1 Ni1 Ti1 V1,6.6,38.6,204.8,-28.64,13.381,1.814,79.06,-0.135,0.35,1911.754,4.764,7.448,0.07
Al1.11 Ba1.69 Co1.19 Mn1.08 Ti1.2 Zr0.32,4.713,90.32,111.002,0.02,14.23,2.01,34.606,-0.2,0.457,1438.657,3.402,6.552,0.244
Be0.91 Co0.64 Hf1.3 Mo0.74 Re0.41 Ta1.07 Ti0.96,6.7,34.075,219.867,-22.983,15.745,1.817,80.426,-0.134,0.313,2446.735,5.854,7.609,0.149
B0.16 Nb0.66 Ni0.89,7.415,43.842,186.725,-36.582,7.724,1.392,70.129,-0.09,0.274,2180.561,5.769,7.362,0.054
Ag0.32 Co0.52 Fe1.65 Ni0.51 V1.96 Zr0.72,6.898,26.13,159.146,-12.359,13.181,1.06,63.053,-0.044,0.081,1935.706,4.87,7.299,0.067
Al1 Cr1 Fe1 Nb1 Ni1 Pd1,7,15.833,164.333,-26.889,14.897,1.403,63.55,-0.106,0.23,1871.753,4.607,7.232,0.09
Ag0.78 Cr0.13 Fe1.45 N1.9 Pd1.79,7.993,48.182,197.281,-66.194,11.748,2.209,51.572,-0.068,0.161,1200.792,4.181,10.047,0.507
Ag1.47 Al1.24 Cr0.3 Fe1.83 Mg0.43 Ti0.97,6.582,15.556,129.889,-0.4,13.643,1.798,49.882,-0.141,0.317,1477.667,3.673,7.205,0.066
Cu1.45 Mn1.11,9.266,0.566,159.484,3.929,5.689,1.022,42.533,-0.011,0.024,1427.678,3.243,7.599,0.06
Co0.26 Cr0.6 Fe0.67 Ni0.8 Si1.9 Ti0.57,6.079,24.581,165.11,-47.294,13.396,2.66,66.379,-0.051,0.126,1807.317,4.496,7.686,0.033
Co0.88 Cu1.51 Fe0.47 Mn0.37 Mo1.52 Ta0.54 V0.42,8.224,13.62,211.371,4.103,14.883,1.162,76.011,-0.071,0.149,2121.655,5.113,7.522,0.093
Co1 Cr1 Ni1,8.333,2.333,229.333,-4.889,9.134,1.037,88.667,-0.022,0.044,1892,4.31,7.429,0.025
Si1.47 Ti1.6,4,18.762,111.691,-65.882,5.755,3.743,45.436,-0.001,0.001,1819.378,4.745,7.461,0.065
Nb1.84 Ni1.56,7.294,11.906,148.588,-29.797,5.735,1.247,55.435,-0.049,0.117,2281.082,6.134,7.163,0.048
Co1 Cr1 Cu1 Hf1 Ni1 Ti1 V1 W1,7.875,23.5,202.125,-12.375,17.288,1.404,75.788,-0.12,0.283,2169.846,5.188,7.285,0.176
Ag1 Al1 Cr1 Fe1 Mn1 Mo1 W1,7.286,13.714,225.857,8.816,16.178,1.409,81.329,-0.175,0.363,2038.486,4.761,7.233,0.155
Al1 Cu1 Fe1 Ta1,7.75,16.5,149.25,-7.75,11.526,1.658,56.4,-0.067,0.14,1848.06,4.807,7.376,0.052
Cr1 Nb1 Pd1 Ti1 V1 Zn1,7,10,142.833,-25.667,14.897,1.528,56.833,-0.085,0.22,1929.122,4.512,7.472,0.098
Ba1 Co1 Ni1 Ti1 V1 W1,6.667,99.333,179.5,10.111,14.897,1.597,69.667,-0.207,0.461,2052.5,4.885,7.028,0.4
Ag1 Al1 Co1 Fe1 Ni1 V1,7.667,16.333,150.167,-3.889,14.897,1.36,57.717,-0.076,0.149,1609.733,4.122,7.288,0.034
Mo1 Ni1 Ti1 Zn1 Zr1,7.2,19.2,169.4,-22.72,13.381,1.822,63.2,-0.108,0.254,1877.136,4.798,7.519,0.168
