composition,Mean VEC,electronegativity_difference,Atomic_Radius_Difference,Calculated_Youngs_Modulus,Mixing_Enthalpy,Mixing_Entropy,Work_Function,Shear_Modulus_G,MOd_Missmatch,shear_modulus_difference,melting_Temp,cohesive_enrg,Ionization_enrg,Pauling_electronegativity
Al1.71 Mo0.3 Ni0.38 W0.79 Zn1.88,8.1403,0.5629,10.919,162.4763,0.714,11.5263,2.1679,62.8227,-0.1947,0.5849,1451.1783,3.7644,7.7356,0.1562
Al1.39 Fe0.19 Mn1.16 Nb1.23 Ta1.88,6.3043,0.2622,16.9299,144.5983,-16.0706,12.1909,1.7396,46.0166,-0.0747,0.1614,2217.3254,5.7111,7.1098,0.0088
Cr1 Cu1 Fe1 Ni1 Si1 V1 W1,7.7143,0.4757,16.1429,209.4286,-15.8367,16.1783,1.5686,83.7571,-0.0906,0.2104,2091.6814,5.0214,7.5423,0.0987
Cr1 Fe1 Mn1 Pd1 Re1 Ti1,7.6667,0.42,13.0,231.3333,-18.0,14.8967,1.4017,83.0,-0.1569,0.3725,2123.0083,4.6567,7.5247,0.1061
Co1 Cr1 Fe1 Hf1 Mn1 Mo1 Ni1 Ti1,7.25,0.4312,24.625,210.75,-16.0625,17.2885,1.4237,72.125,-0.0965,0.1969,2043.625,4.7275,7.297,0.127
Cu1 Hf1 Ni1 Ta1,9.5,0.3525,19.75,165.0,-19.75,11.5257,1.3725,55.825,-0.0503,0.1046,2220.4425,5.5125,7.5202,0.1375
Au1 Cr1 Cu1 Mn1 Mo1 Pd1 Ti1 V1,6.75,0.6425,11.25,172.375,-14.75,17.2885,1.2812,61.2875,-0.1261,0.299,1905.2688,4.3975,7.5204,0.2374
Cr1.72 Cu0.93 Fe1.25 Mo1.45 V0.65,7.0833,0.3098,8.1083,237.4633,5.4726,12.9526,1.0709,92.7115,-0.0489,0.0919,2149.0377,4.8314,7.2301,0.0786
Al1 Co1 Fe1 Nb1,6.25,0.15,17.25,148.75,-22.5,11.5257,1.6025,55.325,-0.0866,0.1831,1815.6175,4.9,7.132,0.0319
Hf1 Mn1 Mo1 Sc1 V1,5.8,0.56,17.8,174.6,0.16,13.3809,1.718,54.2,-0.155,0.4035,2183.6,4.868,6.9332,0.1858
