composition,hardness
Co1 Cr1 Fe1 Ni1,83
Co1 Cr1 Fe1 Ni1,80
Cu1 Mn1 Ni1 Zn0.25,65
Cu1 Mn1 Ni1 Sn0.053,63
Al0.333 Ca0.011 Li0.867 Mg1 Si0.011,63
Co1 Cr1 Fe1 Mn1 Ni1,62
Co1 Cr0.2 Fe1 Ni1 Si0.2,61
Cu1 Mn1 Ni1 Zn0.333,60
Co1 Cr1 Fe1 Ni1,58.9
Al0.304 Co1 Cr1 Fe1 Ni1,58
Co1 Cr1 Fe1 Mn1 Ni1,57
Co1 Cr1 Fe1 Mn1 Ni1,57
Al0.2 Co1 Cr1 Fe1 Mn1 Ni1,56
Co0.25 Cr0.25 Fe1 Mn1,55.7
Co1 Cr1 Fe1 Mo0.208 Ni1,55.1
Al0.7 Cr1 Fe1 Mn1 Ni1,55
Al0.8 Cr1 Fe1 Mn1 Ni1,55
Al0.6 Cr1 Fe1 Mn1 Ni1,53
Co1 Cr1 Fe1 Mo0.2 Ni1,53
Hf1 Nb1 Ti1 Zr1,52
Co1 Cr1 Fe1 Ni1 W0.2,52
Co1 Cr1 Fe1 Mo0.083 Ni1,51.1
Co1 Cr1 Cu1 Fe1 Ni1,50.2
Co1 Cr1 Cu1 Fe1 Ni1 V0.042,50.2
Co1 Cr1 Cu1 Fe1 Ni1 V0.087,50.2
Co1 Cr1 Cu1 Fe1 Ni1 V0.136,50.2
Al0.3 Hf1 Nb1 Ta1 Ti1 Zr1,50
Hf1 Nb1 Ta1 Ti1 Zr1,50
Hf1 Mo0.25 Nb1 Ta1 Ti1 Zr1,50
Hf1 Mo0.5 Nb1 Ta1 Ti1 Zr1,50
Hf1 Mo0.75 Nb1 Ta1 Ti1 Zr1,50
Hf1 Nb1 Ta1 Ti1 Zr1,50
Hf0.25 Ti1 V0.5 Zr0.5,50
Hf0.25 Nb0.125 Ti1 V0.5 Zr0.5,50
Hf0.25 Nb0.25 Ti1 V0.5 Zr0.5,50
Hf0.25 Nb0.375 Ti1 V0.5 Zr0.5,50
Hf0.25 Nb0.5 Ti1 V0.5 Zr0.5,50
Al0.5 Cr1 Fe1 Mn1 Ni1,50
Co1 Cr1 Fe1 Mn0.2 Ni1 Pd1,50
Co1 Cr1 Fe1 Mo0.304 Ni1,49.3
Co1 Cr1 Fe1 Ni1,48
Nb1 Ti1 Zr1,48
Al0.143 Cr0.343 Fe1 Mn0.8 Ni0.571,48
Al0.5 Hf1 Nb1 Ta1 Ti1 Zr1,46
Co1 Cr1 Fe1 Mn0.4 Ni1 Pd1,46
Al0.38 Co1 Cr1 Fe1 Mn1 Ni1,45
Al0.053 Cu1 Mn1 Ni1,45
Al0.25 Cr0.417 Fe0.417 Ni1,45
Al0.333 Ca0.011 Li0.844 Mg1 Si0.033,44
Co1 Cr1 Fe1 Mn0.6 Ni1 Pd1,42
Al0.111 Cu1 Mn1 Ni1,40
C0.1 Hf0.5 Mo0.5 Nb1 Ti1 Zr1,38
Al0.885 Cr1 Fe1 Ni1,37.1
Al0.667 Co0.667 Cu0.667 Fe0.667 Ni1,35.9
Co1 Cr1 Fe1 Ni1 W0.5,35.6
Al0.43 Co1 Cr1 Fe1 Mn1 Ni1,35
