composition,hardness,Mean VEC,electronegativity_difference,Atomic_Radius_Difference,Calculated_Youngs_Modulus,Mixing_Enthalpy,Mixing_Entropy,Work_Function,Shear_Modulus_G,MOd_Missmatch,shear_modulus_difference,melting_Temp,cohesive_enrg,Ionization_enrg,Pauling_electronegativity
Co1 Cu1 Fe1 Ni1 Sn0.2,261,9.238095238,0.076190476,34.52380952,180.952381,5.170068027,12.56847688,1.198571429,67.83333333,-0.036496064,0.061936815,1610.901429,4.101904762,7.766142857,0.002390023
Ta1 Ti1 Zr1,284,5.666666667,0.126666667,9,132,1.777777778,9.133862568,2.03,48.66666667,-0.0442949,0.095796585,2453,6.493333333,7.117333333,0.016577778
Al0.304 Co1 Cr1 Fe1 Ni1,335,7.879182156,0.195167286,7.20260223,213.8197026,-7.308840397,12.83389161,1.179144981,82.71263941,-0.041353444,0.071827116,1805.477435,4.235929368,7.437208178,0.023168903
Co1 Cu1 Fe1 Mn1 Ni1 Sn0.2,368,8.807692308,0.269615385,34.61538462,184.2307692,1.834319527,14.22159654,1.17,61.51923077,-0.056464326,0.105065441,1593.228077,3.874615385,7.702269231,0.036545858
Co1 Cu1 Fe1 Mn1 Ni1 Sn0.08,425,8.921259843,0.266299213,35.43307087,187.4015748,1.791803584,13.84352929,1.103858268,62.54724409,-0.047802209,0.092335247,1618.932362,3.891968504,7.710732283,0.036456073
Al0.242 Co0.515 Cr0.515 Cu0.242 Fe0.515 Ni1,459,8.330472103,0.214024431,7.03037306,200.853417,-5.128190886,13.91281086,1.213410366,77.29719379,-0.048083282,0.087342969,1732.70554,4.18430175,7.451817101,0.023348592
Co1 Cu1 Fe1 Mn1 Ni1 Sn0.03,465,8.970178926,0.264870775,35.78528827,188.7673956,1.772268971,13.60447961,1.075367793,62.99005964,-0.043855303,0.086925516,1630.004453,3.89944334,7.714377734,0.036403843
Co1 Cu1 Fe1 Mn1 Ni1 Sn0.1,470,8.901960784,0.266862745,35.29411765,186.8627451,1.799307958,13.92087237,1.115098039,62.37254902,-0.049322854,0.094481617,1614.564314,3.889019608,7.709294118,0.036474433
Co1 Cu1 Fe1 Mn1 Ni1 Sn0.05,475,8.95049505,0.265445545,35.64356436,188.2178218,1.780217626,13.71019304,1.086831683,62.81188119,-0.045459541,0.08909695,1625.549307,3.896435644,7.712910891,0.036425841
Co1 Cu1 Fe1 Mn1 Ni1,478,9,0.264,2,189.6,1.76,13.3808668,1.058,63.26,-0.041382888,0.083649381,1636.754,3.904,7.7166,0.036368
