composition,hardness
Co1 Cu1 Fe1 Ni1 Sn0.2,261
Ta1 Ti1 Zr1,284
Al0.304 Co1 Cr1 Fe1 Ni1,335
Co1 Cu1 Fe1 Mn1 Ni1 Sn0.2,368
Co1 Cu1 Fe1 Mn1 Ni1 Sn0.08,425
Al0.242 Co0.515 Cr0.515 Cu0.242 Fe0.515 Ni1,459
Co1 Cu1 Fe1 Mn1 Ni1 Sn0.03,465
Co1 Cu1 Fe1 Mn1 Ni1 Sn0.1,470
Co1 Cu1 Fe1 Mn1 Ni1 Sn0.05,475
Co1 Cu1 Fe1 Mn1 Ni1,478
Co1 Cr1 Fe1 Mo0.083 Ni1,479
Co1 Cu1 Fe1 Ni1,480
Al1 Cu1 Ni1 Ti1,536
Co0.476 Cr0.476 Fe0.476 Nb0.095 Ni1,537
Al1 Li0.5 Mg1 Sn0.2 Zn0.5,546
Co1 Cu1 Fe1 Ni1 Sn0.02,548
Co1 Cr1 Fe1 Mo0.208 Ni1,589.6
Co1 Cu1 Fe1 Ni1 Sn0.04,594
Co1 Cu1 Fe1 Ni1 Sn0.1,602
Co1 Cu1 Fe1 Ni1 Sn0.05,615
Al1 Li1 Mg1 Sn1 Zn1,615
Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.75,618.8
Co1 Cr1 Fe1 Nb0.103 Ni1,622
Co1 Cu1 Fe1 Ni1 Sn0.07,632
Nb1 Ta1 Ti1,683
Co1 Cr1 Fe1 Mo0.304 Ni1,709.7
Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571,720
Co1 Cr0.2 Fe1 Ni1 Si0.2,732
Al1 Mo1 Ta1 Ti1 V1,735
Co1 Cr1 Fe1 Nb0.155 Ni1,744
Al0.25 Cr0.417 Fe0.417 Ni1,757
Co1 Cr1 Fe1 Mo0.2 Ni1,780
Al1 Co1 Cr1 Cu1 Fe1 Ni1,790
Co1 Cr1 Fe1 Nb0.206 Ni1,807
Al0.304 Cr0.435 Fe0.435 Ni1,835
Al1 Li0.062 Mg0.062 Sn0.062 Zn0.062,836
Co0.476 Cr0.476 Fe0.476 Nb0.19 Ni1,840
Nb0.333 Ta0.667 Ti0.667 Zr1,843
Nb1 Ta0.667 Ti0.667 Zr0.333,852
Co1 Cr1 Fe1 Nb0.309 Ni1,879
Al1 Cu0.062 Li0.062 Mg0.062 Zn0.062,879
Co1 Cr1 Fe1 Mo0.15 Ni1,895
Cr1 Cu1 Fe1 Mn1 Ni1,950
Al0.364 Cr0.455 Fe0.455 Ni1,956
Hf1 Nb1 Ti1 Zr1,969
Hf0.333 Nb0.333 Ta0.333 Ti1 Zr0.667,990
Nb1 Ti1 Zr1,991
Co1 Cr1 Fe1 Nb0.412 Ni1,1004
